X,Y,DATE,SERVICEORDERSTATUS,STREETADDRESS,ZIPCODE,WARD
-76.9727365667634,38.8970779570412,June 2020,Closed,536 24TH STREET NE,20002,7
-77.0114002469695,38.9146548829991,June 2020,Closed,72 SEATON PLACE NW,20001,5
-77.0165186926317,38.9451408276503,June 2020,Closed,320 ALLISON STREET NW,20011,4
-77.0151611026592,38.9409076565515,June 2020,Closed,214 TAYLOR STREET NW,20011,4
-77.0198880880584,38.951316199168,June 2020,Closed,5006 5TH STREET NW,20011,4
-77.0049064597779,38.917945540012,June 2020,Closed,143 V STREET NE,20002,5
-76.9809973292112,38.8888699933048,June 2020,Closed,35 17TH STREET SE,20003,6
-76.9957014898555,38.8937582324471,June 2020,Closed,708 C STREET NE,20002,6
-76.9805502506016,38.9065187464798,June 2020,Closed,1232 16TH STREET NE,20002,5
-77.0225399089622,38.9488961850036,June 2020,Closed,4815 ILLINOIS AVENUE NW,20011,4
-77.0153017191314,38.9452397241052,June 2020,Closed,4431 3RD STREET NW,20011,4
-77.0259185062845,38.9549758889246,June 2020,Closed,5324 9TH STREET NW,20011,4
-76.9703024063582,38.8748425121443,June 2020,Closed,2503 FAIRLAWN AVENUE SE,20020,7
-76.9893563707143,38.8905282349588,June 2020,Closed,1206 EAST CAPITOL STREET NE,20002,6
-77.057844882445,38.9338232614868,June 2020,Closed,3310 CONNECTICUT AVENUE NW,20008,3
-77.0248250344255,38.9291778243437,June 2020,Closed,737 IRVING STREET NW,20010,1
-77.0199083983531,38.9517509350002,June 2020,Closed,5024 5TH STREET NW,20011,4
-77.0198993459608,38.9515579793231,June 2020,Closed,5016 5TH STREET NW,20011,4
-76.9876133617722,38.9068216685481,June 2020,Closed,1506 MONTELLO AVENUE NE,20002,5
-77.0224706322201,38.941752718727,June 2020,Closed,720 UPSHUR STREET NW,20011,4
-76.9876357368375,38.9067741969166,June 2020,Closed,1504 MONTELLO AVENUE NE,20002,5
-77.0161371496742,38.9519910464217,June 2020,Closed,5028 3RD STREET NW,20011,4
-76.9817417035726,38.866348581884,June 2020,Closed,1614 GOOD HOPE ROAD SE,20020,8
-77.0311359130445,38.9652524986462,June 2020,Closed,1334 RITTENHOUSE STREET NW,20011,4
-77.0733399620605,38.9151560767946,June 2020,Closed,3712 T STREET NW,20007,2
-77.0003234421323,38.8457634072759,June 2020,Closed,516 OAKWOOD STREET SE,20032,8
-77.0226952822752,38.9158691800341,June 2020,Closed,1907 8TH STREET NW,20001,1
-77.0045426526578,38.9161197459119,June 2020,Closed,159 TODD PLACE NE,20002,5
-77.0177527440071,38.9422979915935,June 2020,Closed,411 UPSHUR STREET NW,20011,4
-77.0094837027307,38.9142850819138,June 2020,Closed,7 S STREET NW,20001,5
-76.9995018823392,38.9608837671856,June 2020,Closed,536 RIGGS ROAD NE,20011,4
-77.0181338649676,38.9423113554362,June 2020,Closed,423 UPSHUR STREET NW,20011,4
-77.0023215416691,38.8827901364832,June 2020,Closed,511 3RD STREET SE,20003,6
-76.9470282048357,38.8659243282409,June 2020,Closed,3926 R STREET SE,20020,7
-77.0432292936785,38.9343735928161,June 2020,Closed,1861 NEWTON STREET NW,20010,1
-77.0157030686382,38.9134307814139,June 2020,Closed,310 FLORIDA AVENUE NW,20001,5
-77.0000708248869,38.9624998492575,June 2020,Closed,501 PEABODY STREET NE,20011,4
-77.0259750591962,38.9559837212758,June 2020,Closed,5418 9TH STREET NW,20011,4
-76.991313787555,38.8956029026075,June 2020,Closed,431 11TH STREET NE,20002,6
-77.0235175468634,38.9379152497137,June 2020,Closed,3800 NEW HAMPSHIRE AVENUE NW,20011,4
-77.067027366523,38.9694772546971,June 2020,Closed,3302 RITTENHOUSE STREET NW,20015,4
-77.0038029513103,38.9614967181756,June 2020,Closed,228 OGLETHORPE STREET NE,20011,4
-77.0203047933175,38.9355474800265,June 2020,Closed,628 PRINCETON PLACE NW,20010,1
-76.9944762109938,38.8423321401145,June 2020,Closed,828 WHEELER HILL DRIVE SE,20032,8
-77.0023950332174,38.9227493989191,June 2020,Closed,233 CROMWELL TERRACE NE,20002,5
-77.0193526244419,38.9166981878934,June 2020,Open,515 U STREET NW,20001,1
-77.0301908280411,38.9139028555695,June 2020,Closed,1310 S STREET NW,20009,2
-77.0101081937024,38.9077699260858,June 2020,Open,30 HANOVER PLACE NW,20001,5
-76.9834035528859,38.8959238256185,June 2020,Closed,437 15TH STREET NE,20002,6
-77.0293995442782,38.9391982309921,June 2020,Open,3915 13TH STREET NW,20011,4
-77.0531326673484,38.8997467001063,June 2020,Open,801 25TH STREET NW,20037,2
-76.981364435106,38.8889077074656,June 2020,Closed,1614 A STREET SE,20003,6
-77.0238218367778,38.9565980030673,June 2020,Closed,5505 8TH STREET NW,20011,4
-77.000067926305,38.8307504576912,June 2020,Open,411 ATLANTIC STREET SE,20032,8
-77.0124050326296,38.9100859306446,June 2020,Closed,1514 1ST STREET NW,20001,5
-77.0008337751153,38.9165076400642,June 2020,Closed,1924 4TH STREET NE,20002,5
-77.0320459120492,38.9374011908694,June 2020,Closed,1368 QUINCY STREET NW,20011,4
-77.0216824338575,38.9671106932501,June 2020,Open,610 TUCKERMAN STREET NW,20011,4
-77.028408266437,38.9250148959881,June 2020,Closed,1213 FAIRMONT STREET NW,20009,1
-76.9852592848359,38.8790440812978,June 2020,Open,936 14TH STREET SE,20003,6
-77.0124045860721,38.910170068624,June 2020,Closed,1518 1ST STREET NW,20001,5
-77.0178240014031,38.9403362451177,June 2020,Closed,4008 ILLINOIS AVENUE NW,20011,4
-77.0099833970098,38.9675460245142,June 2020,Closed,29 TUCKERMAN STREET NW,20011,4
-76.9314352095084,38.8762660639835,June 2020,Closed,4651 HILLSIDE ROAD SE,20019,7
-77.024926619604,38.907019020234,June 2020,Closed,924 N STREET NW,20001,2
-77.0516563192977,38.9272145105192,June 2020,Closed,2262 CATHEDRAL AVENUE NW,20008,3
-76.9818657602601,38.897813642214,June 2020,Closed,615 16TH STREET NE,20002,6
-76.9931524621464,38.9516396464458,June 2020,Open,5054 10TH STREET NE,20017,5
-77.0216587275535,38.96846067322,June 2020,Closed,608 UNDERWOOD STREET NW,20012,4
-77.0099731740657,38.9703540747613,June 2020,Closed,35 VAN BUREN STREET NW,20012,4
-76.9558592562114,38.8902347246609,June 2020,Closed,10 35TH STREET NE,20019,7
-76.9917775613278,38.8914011617932,June 2020,Closed,134 11TH STREET NE,20002,6
-77.0247915956984,38.9590482290721,June 2020,Open,810 MARIETTA PLACE NW,20011,4
-77.0097572367851,38.9077668030064,June 2020,Closed,10 1/2 HANOVER PLACE NW,20001,5
-76.9389126431135,38.9013467521736,June 2020,Open,4401 JAY STREET NE,20019,7
-77.0290527995987,38.9269870186372,June 2020,Closed,1223 HARVARD STREET NW,20009,1
-77.0025072715899,38.9138627688134,June 2020,Open,229 S STREET NE,20002,5
-77.0552655703039,38.9694843959449,June 2020,Closed,5748 26TH STREET NW,20015,4
-76.9888785466918,38.9004235219462,June 2020,Closed,1240 H STREET NE,20002,6
-77.0049634711684,38.8855090550481,June 2020,Closed,116 RUMSEY COURT SE,20003,6
-77.0245533203711,38.9278422191047,June 2020,Closed,748 COLUMBIA ROAD NW,20001,1
-76.9961693968661,38.9471125843375,June 2020,Closed,715 CRITTENDEN STREET NE,20017,5
-77.0278400412096,38.9107560152331,June 2020,Closed,1519 12TH STREET NW,20005,2
-76.9924359572238,38.9035074571126,June 2020,Closed,1003 FLORIDA AVENUE NE,20002,6
-77.0197833367462,38.9400942373822,June 2020,Closed,517 SHEPHERD STREET NW,20011,4
-76.9963694667103,38.8307624726515,June 2020,Closed,701 ATLANTIC STREET SE,20032,8
-77.023676644658,38.9362975072872,June 2020,Closed,758 ROCK CREEK CHURCH ROAD NW,20010,1
-77.0399703858435,38.9235942340864,June 2020,Closed,2519 ONTARIO ROAD NW,20009,1
-77.0262648442617,38.9527697764454,June 2020,Open,908 HAMILTON STREET NW,20011,4
-77.044122127446,38.9209642011847,June 2020,Open,1851 COLUMBIA ROAD NW,20009,1
-76.9926466433513,38.8962555602138,June 2020,Closed,500 - 509 BLOCK OF 10TH STREET NE,20002,6
-77.0375798484527,38.9306881755218,June 2020,Closed,1620 LAMONT STREET NW,20010,1
-77.0211369512019,38.9576673498369,June 2020,Closed,605 LONGFELLOW STREET NW,20011,4
-77.0334485633255,38.9213616780268,June 2020,Closed,1428 CHAPIN STREET NW,20009,1
-77.0228088321139,38.9507505766975,June 2020,Open,716 FARRAGUT STREET NW,20011,4
-77.0337347503702,38.9568897728493,June 2020,Open,5514 14TH STREET NW,20011,4
-77.0061154027076,38.8375543876743,June 2020,Closed,3700 MARTIN LUTHER KING JR AVENUE SE,20032,8
-77.030180392179,38.9366514763193,June 2020,Closed,1303 SPRING ROAD NW,20010,4
-77.0247996240331,38.9575837542377,June 2020,Closed,817 LONGFELLOW STREET NW,20011,4
-77.0514210761347,38.9242062860238,June 2020,Closed,2621 CONNECTICUT AVENUE NW,20008,3
-77.0242826054582,38.9568396000117,June 2020,Closed,5514 8TH STREET NW,20011,4
-77.0002390277456,38.8867090768908,June 2020,Closed,404 SEWARD SQUARE SE,20003,6
-77.0228066783674,38.9245502132065,June 2020,Open,2610 GEORGIA AVENUE NW,20001,1
-76.9958494817658,38.9574877607909,June 2020,Closed,746 KENNEDY STREET NE,20011,4
-77.0195932107585,38.9550768416863,June 2020,Closed,5329 5TH STREET NW,20011,4
-76.9726745793612,38.8972960350812,June 2020,Closed,546 24TH STREET NE,20002,7
-77.0516541946559,38.901834690405,June 2020,Closed,942 24TH STREET NW,20037,2
-77.0312019146127,38.965252300887,June 2020,Closed,1336 RITTENHOUSE STREET NW,20011,4
-77.0089251677486,38.970497750806,June 2020,Open,6614 EASTERN AVENUE NW,20012,4
-77.0195741268081,38.972966331619,June 2020,Open,6809 5TH STREET NW,20012,4
-77.0392644937658,38.9120434497072,June 2020,Closed,1717 CORCORAN STREET NW,20009,2
-76.9998152028375,38.8914474836921,June 2020,Closed,114 5TH STREET NE,20002,6
-76.9969825480666,38.9309462314812,June 2020,Closed,676 KENNETH STREET NE,20017,5
-76.9389126431135,38.9013467521736,June 2020,Open,4401 JAY STREET NE,20019,7
-77.0205361284706,38.9418298252644,June 2020,Closed,4132 NEW HAMPSHIRE AVENUE NW,20011,4
-77.0439195695699,38.9143083809795,June 2020,Closed,1909 S STREET NW,20009,2
-76.984103690331,38.9018177340607,June 2020,Closed,1209 HOLBROOK STREET NE,20002,5
-76.9992666749883,38.8994551996698,June 2020,Closed,717 5TH STREET NE,20002,6
-76.9951987074396,38.8881202314153,June 2020,Closed,119 8TH STREET SE,20003,6
-77.0202595310036,38.951202991459,June 2020,Closed,603 FARRAGUT STREET NW,20011,4
-77.0694672671499,38.9263902979409,June 2020,Closed,3507 FULTON STREET NW,20007,3
-77.0399530302353,38.9224623442023,June 2020,Closed,2431 ONTARIO ROAD NW,20009,1
-76.9825153221119,38.8843031609406,June 2020,Closed,1540 D STREET SE,20003,6
-77.0311359130445,38.9652524986462,June 2020,Open,1334 RITTENHOUSE STREET NW,20011,4
-77.0161838814609,38.9423754203993,June 2020,Open,319 UPSHUR STREET NW,20011,4
-76.9824526532321,38.8855844140623,June 2020,Closed,253 16TH STREET SE,20003,6
-77.0210446623528,38.966301689052,June 2020,Closed,525 SHERIDAN STREET NW,20011,4
-76.9795372578477,38.8696566453468,June 2020,Open,1728 R STREET SE,20020,8
-76.9904894631579,38.8402056189035,June 2020,Open,1125 TRENTON PLACE SE,20032,8
-76.9947045332179,38.904232484174,June 2020,Closed,1117 8TH STREET NE,20002,6
-77.001675377266,38.9149949514774,June 2020,Closed,306 SEATON PLACE NE,20002,5
-76.959190276763,38.8931555500478,June 2020,Closed,235 33RD STREET NE,20019,7
-76.9912594433306,38.9487093983672,June 2020,Closed,4915 SOUTH DAKOTA AVENUE NE,20017,5
-77.0283041701415,38.9198858519209,June 2020,Open,2222 12TH STREET NW,20009,1
-77.0050622283085,38.9128405999228,June 2020,Open,138 R STREET NE,20002,5
-77.042533866539,38.9321512286083,June 2020,Open,1824 PARK ROAD NW,20010,1
-77.0709911706645,38.9078601380075,June 2020,Closed,3615 O STREET NW,20007,2
-77.0166686093715,38.9138721463008,June 2020,Open,412 FLORIDA AVENUE NW,20001,5
-77.0327083594005,38.9193779836126,June 2020,Closed,1407 W STREET NW,20009,1
-77.025356284723,38.934491170605,June 2020,Closed,3615 NEW HAMPSHIRE AVENUE NW,20010,1
-77.0334804335444,38.9113830471299,June 2020,Closed,1433 Q STREET NW,20009,2
-77.0553773096165,38.9687902578937,June 2020,Open,5730 26TH STREET NW,20015,4
-77.0662433682311,38.9064058256453,June 2020,Closed,1236 33RD STREET NW,20007,2
-77.0196687103455,38.9117687729644,June 2020,Open,1619 6TH STREET NW,20001,6
-76.9764201364468,38.8960287434211,June 2020,Closed,450 20TH STREET NE,20002,7
-77.0166405101077,38.9575052970185,June 2020,Closed,306 LONGFELLOW STREET NW,20011,4
-77.0199804512845,38.9314051569755,June 2020,Open,3301 WARDER STREET NW,20010,1
-77.0221571291121,38.9280754728435,June 2020,Open,640 COLUMBIA ROAD NW,20001,1
-77.0438832627748,38.9049622360092,June 2020,Closed,1140 19TH STREET NW,20036,2
-77.0407381455898,38.9229160025724,June 2020,Closed,1750 EUCLID STREET NW,20009,1
-77.0013018810001,38.9202341117574,June 2020,Closed,300 - 399 BLOCK OF ADAMS STREET NE,20002,5
-77.0399703858435,38.9235942340864,June 2020,Closed,2519 ONTARIO ROAD NW,20009,1
-77.0367147334643,38.9819526877883,June 2020,Closed,7520 16TH STREET NW,20012,4
-77.0260250636911,38.9463209844855,June 2020,Closed,907 BUCHANAN STREET NW,20011,4
-77.0377198363878,38.9288976383756,June 2020,Closed,1611 IRVING STREET NW,20010,1
-77.0118995543681,38.9134765426764,June 2020,Closed,1727 1ST STREET NW,20001,5
-76.9971222667852,38.9554020253791,June 2020,Open,5370 CHILLUM PLACE NE,20011,5
-77.0007723508756,38.8878980006381,June 2020,Closed,123 4TH STREET SE,20003,6
-77.0510025533823,38.9243360991847,June 2020,Closed,2622 WOODLEY PLACE NW,20008,3
-77.0047691732978,38.8842045589985,June 2020,Closed,132 NORTH CAROLINA AVENUE SE,20003,6
-77.03120844717,38.9369576686812,June 2020,Closed,1337 SPRING ROAD NW,20010,4
-76.9798916068962,38.8888524220345,June 2020,Open,1722 A STREET SE,20003,6
-77.0130652396624,38.9151708863168,June 2020,Open,126 RHODE ISLAND AVENUE NW,20001,5
-77.0273274609616,38.9195882690932,June 2020,Closed,2212 11TH STREET NW,20001,1
-77.0156207667836,38.9409165142294,June 2020,Closed,302 TAYLOR STREET NW,20011,4
-76.9822889870109,38.9236588231018,June 2020,Open,1536 DOUGLAS STREET NE,20018,5
-77.0274699268471,38.9098489626072,June 2020,Closed,1107 P STREET NW,20005,2
-77.0420475636815,38.9248220600078,June 2020,Closed,1759 LANIER PLACE NW,20009,1
-77.0240693925993,38.9503429697231,June 2020,Closed,4912 ILLINOIS AVENUE NW,20011,4
-77.0409583456073,38.9248204650167,June 2020,Closed,2720 ONTARIO ROAD NW,20009,1
-77.0100112718518,38.8834228398082,June 2020,Open,499 SOUTH CAPITOL STREET SW,20003,6
-77.0312017200176,38.9094638196569,June 2020,Closed,1312 P STREET NW,20005,2
-76.9849976639403,38.9075887832306,June 2020,Closed,1247 MEIGS PLACE NE,20002,5
-76.9725805134326,38.8975944601681,June 2020,Closed,560 24TH STREET NE,20002,7
-77.0343032677418,38.9114887465464,June 2020,Closed,1607 15TH STREET NW,20009,2
-77.026752911541,38.9163627888878,June 2020,Closed,1921 11TH STREET NW,20001,1
-76.9899562808214,38.8990928144221,June 2020,Open,1200 G STREET NE,20002,6
-77.0300055710662,38.9309824150527,June 2020,Closed,1302 PARK ROAD NW,20010,1
-76.9805327564617,38.8666946700063,June 2020,Open,1920 17TH STREET SE,20020,8
-77.0490439229721,38.9132505650889,June 2020,Closed,2200 DECATUR PLACE NW,20008,2
-76.9745872380664,38.895430113413,June 2020,Closed,419 21ST STREET NE,20002,7
-76.9307004462359,38.9019866276869,June 2020,Closed,4909 JUST STREET NE,20019,7
-76.9306022816305,38.9018081138098,June 2020,Closed,4901 JUST STREET NE,20019,7
-76.9722673032633,38.89700046473,June 2020,Closed,537 24TH STREET NE,20002,7
-77.047086893598,38.9200841916617,June 2020,Open,2351 ASHMEAD PLACE NW,20009,1
-77.0103406699554,38.9120386898198,June 2020,Closed,33 QUINCY PLACE NW,20001,5
-77.0230012987809,38.9390756210323,June 2020,Open,3913 8TH STREET NW,20011,4
-77.0163532326443,38.9419453410638,June 2020,Closed,314 UPSHUR STREET NW,20011,4
-77.021092571992,38.942209785941,June 2020,Closed,621 UPSHUR STREET NW,20011,4
-77.0191277240629,38.881698848191,June 2020,Closed,615 4TH PLACE SW,20024,6
-77.0201170298478,38.9400759836704,June 2020,Open,527 SHEPHERD STREET NW,20011,4
-77.0077586495791,38.9261762910851,June 2020,Open,24 GIRARD STREET NE,20002,5
-77.0118960290421,38.9130796356321,June 2020,Open,1715 1ST STREET NW,20001,5
-77.0092823879484,38.9683747506716,June 2020,Open,6500 NORTH CAPITOL STREET NW,20012,4
-77.0108423012046,38.9094664922063,June 2020,Closed,54 P STREET NW,20001,5
-76.9923410298816,38.8846003239981,June 2020,Open,1005 SOUTH CAROLINA AVENUE SE,20003,6
-77.016912542911,38.9467193829169,June 2020,Open,4606 NEW HAMPSHIRE AVENUE NW,20011,4
-77.0290527995987,38.9269870186372,June 2020,Open,1223 HARVARD STREET NW,20009,1
-76.9972368577017,38.9457708307588,June 2020,Open,618 ALLISON STREET NE,20017,5
-77.0653920257869,38.9062540641022,June 2020,Open,1232 POTOMAC STREET NW,20007,2
-77.0198128524008,38.933406741223,June 2020,Closed,400 - 499 BLOCK OF MANOR PLACE NW,20010,1
-77.0912526361736,38.9535772247111,June 2020,Closed,4611 ELLICOTT STREET NW,20016,3
-76.9796114113731,38.8484748802163,June 2020,Closed,1720 STANTON TERRACE SE,20020,8
