X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.0341224954447,38.9120102923871,265,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 08:56:30+00,2020/06/29 07:51:12+00,2020/07/16 08:56:30+00,2020/06/25 08:56:30+00,1,2020/06/26 10:40:00+00,,Closed,,20-00219833,Standard,1455 CORCORAN STREET NW,397040.78,138238.23,38.91200284,-77.0341202,WASHINGTON,DC,20009,240200,2
-77.0156897444591,38.940914252917,266,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 13:29:36+00,2020/06/30 17:24:21+00,2020/07/17 13:29:36+00,2020/06/26 13:29:36+00,1,2020/06/30 17:24:20+00,,Closed,,20-00221985,Standard,304 TAYLOR STREET NW,398639.99,141446.38,38.94090679,-77.01568745,WASHINGTON,DC,20011,244228,4
-77.0108746831657,38.9138942691227,267,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/24 22:39:24+00,2020/06/30 10:25:38+00,2020/07/15 22:39:24+00,2020/06/24 22:39:24+00,1,2020/06/30 10:25:37+00,,Closed,,20-00219603,Standard,54 S STREET NW,399057.07,138446.87,38.91388681,-77.0108724,WASHINGTON,DC,20001,226998,5
-77.0015134375969,38.885520861665,268,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 15:31:34+00,2020/07/06 19:08:17+00,2020/07/17 15:31:33+00,2020/06/26 15:31:34+00,1,2020/07/06 19:06:00+00,,Closed,,20-00222286,Standard,312 NORTH CAROLINA AVENUE SE,399868.89,135297.14,38.88551341,-77.00151115,WASHINGTON,DC,20003,39972,6
-77.0207611781919,38.940650780295,269,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 15:35:26+00,2020/06/30 17:28:25+00,2020/07/17 15:35:26+00,2020/06/26 15:35:26+00,1,2020/06/30 17:28:24+00,,Closed,,20-00222294,Standard,4031 NEW HAMPSHIRE AVENUE NW,398200.32,141417.22,38.94064332,-77.02075889,WASHINGTON,DC,20011,247620,4
-76.9925461111226,38.9349918430477,270,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/29 11:34:00+00,2020/07/01 13:31:54+00,2020/07/20 11:34:00+00,2020/06/29 11:34:00+00,1,2020/07/01 13:31:53+00,,Closed,,20-00224265,Standard,1007 BUNKER HILL ROAD NE,400646.46,140788.85,38.93498438,-76.99254383,WASHINGTON,DC,20017,285749,5
-77.0738022988013,38.9181236720687,271,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/23 11:32:47+00,2020/06/23 13:40:28+00,2020/07/14 11:32:47+00,2020/06/23 11:32:47+00,1,2020/06/23 13:41:08+00,,Closed,,20-00217239,Standard,2039 HUIDEKOPER PLACE NW,393599.93,138918.9,38.91811622,-77.07379999,WASHINGTON,DC,20007,270231,3
-76.9885227993574,38.9060641591816,272,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 15:41:25+00,2020/07/01 07:56:37+00,2020/07/17 15:41:25+00,2020/06/26 15:41:25+00,1,2020/07/01 07:56:00+00,,Closed,,20-00222306,Standard,1149 OWEN PLACE NE,400995.69,137577.67,38.9060567,-76.98852052,WASHINGTON,DC,20002,72812,5
-77.0193526244419,38.9166981878934,273,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/19 13:55:53+00,2020/06/22 08:51:52+00,2020/07/10 13:55:52+00,2020/06/19 13:55:53+00,1,2020/06/22 08:51:00+00,,Closed,,20-00213872,Standard,515 U STREET NW,398321.87,138758.25,38.9166904,-77.01935033,WASHINGTON,DC,20001,243174,1
-76.982530362825,38.9080793052781,274,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 14:56:35+00,2020/07/01 08:11:18+00,2020/07/17 14:56:35+00,2020/06/26 14:56:35+00,1,2020/07/01 08:10:00+00,,Closed,,20-00222190,Standard,1713 TRINIDAD AVENUE NE,401515.41,137801.45,38.90807185,-76.98252808,WASHINGTON,DC,20002,57353,5
-77.0319298833043,38.9374140144087,275,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 15:05:29+00,2020/06/26 12:49:07+00,2020/07/16 15:05:29+00,2020/06/25 15:05:29+00,1,2020/06/26 12:49:07+00,,Closed,,20-00220754,Standard,1364 QUINCY STREET NW,397231.93,141058.19,38.93740655,-77.03192759,WASHINGTON,DC,20011,225236,4
-77.0118963822553,38.9131234161236,276,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 08:14:18+00,2020/07/01 07:38:15+00,2020/07/16 08:14:18+00,2020/06/25 08:14:18+00,1,2020/07/01 07:38:00+00,,Closed,,20-00219736,Standard,1717 1ST STREET NW,398968.45,138361.31,38.91311596,-77.01189409,WASHINGTON,DC,20001,226822,5
-77.007317809643,38.9266122319771,277,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/29 08:31:57+00,2020/07/01 12:41:02+00,2020/07/20 08:31:57+00,2020/06/29 08:31:57+00,1,2020/07/01 12:41:01+00,,Closed,,20-00223881,Standard,45 MICHIGAN AVENUE NE,399365.66,139858.64,38.92660477,-77.00731552,WASHINGTON,DC,20002,20786,5
-77.0191609726544,38.8814778669403,278,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 15:10:11+00,2020/07/06 19:04:41+00,2020/07/17 15:10:11+00,2020/06/26 15:10:11+00,1,2020/07/06 19:04:00+00,,Closed,,20-00222224,Standard,507 G STREET SW,398337.67,134848.51,38.88147042,-77.01915868,WASHINGTON,DC,20024,13846,6
-77.0293995442782,38.9391982309921,279,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/19 12:22:17+00,2020/06/24 09:04:19+00,2020/07/10 12:22:17+00,2020/06/19 12:22:17+00,1,2020/06/24 09:04:19+00,,Closed,,20-00213720,Standard,3915 13TH STREET NW,397451.37,141256.18,38.93919077,-77.02939725,WASHINGTON,DC,20011,223582,4
-77.0531326673484,38.8997467001063,280,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/19 12:22:49+00,2020/06/23 14:40:34+00,2020/07/10 12:22:49+00,2020/06/19 12:22:49+00,1,2020/06/23 10:35:00+00,,Closed,,20-00213724,Standard,801 25TH STREET NW,395391.25,136877.66,38.89973925,-77.05313037,WASHINGTON,DC,20037,274034,2
-76.9908050871601,38.8839153056661,281,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 06:42:44+00,2020/06/25 12:50:29+00,2020/07/16 06:42:44+00,2020/06/25 06:42:44+00,1,2020/06/25 12:51:04+00,,Closed,,20-00219652,Standard,1119 D STREET SE,400797.98,135118.95,38.88390785,-76.99080281,WASHINGTON,DC,20003,73791,6
-77.0182870264201,38.9611033104144,282,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 21:03:54+00,2020/06/26 13:32:03+00,2020/07/16 21:03:53+00,2020/06/25 21:03:54+00,1,2020/06/26 13:32:02+00,,Closed,,20-00221186,Standard,5826 4TH STREET NW,398415.27,143687.59,38.96109584,-77.01828473,WASHINGTON,DC,20011,248903,4
-77.023845432903,38.9385007225793,283,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/24 15:29:49+00,2020/06/25 11:45:23+00,2020/07/15 15:29:49+00,2020/06/24 15:29:49+00,1,2020/06/25 11:45:22+00,,Closed,,20-00219237,Standard,814 RANDOLPH STREET NW,397932.87,141178.61,38.93849326,-77.02384314,WASHINGTON,DC,20011,252556,4
-77.0345255652077,38.9560230369292,284,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/24 15:30:19+00,2020/06/26 09:03:19+00,2020/07/15 15:30:19+00,2020/06/24 15:30:19+00,1,2020/06/25 00:07:00+00,,Closed,,20-00219239,Standard,1410 KENNEDY STREET NW,397007.67,143124.04,38.95601557,-77.03452327,WASHINGTON,DC,20011,255877,4
-77.0267028799242,38.9302528225777,285,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 08:20:02+00,2020/06/29 11:54:34+00,2020/07/17 08:20:01+00,2020/06/26 08:20:02+00,1,2020/06/29 11:53:00+00,,Closed,,20-00221345,Standard,3216 SHERMAN AVENUE NW,397684.87,140263.09,38.93024536,-77.02670059,WASHINGTON,DC,20010,231190,1
-76.9806929692247,38.8652480354303,472,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/03 14:36:49+00,2020/07/07 08:09:40+00,2020/07/23 14:36:49+00,2020/07/03 14:36:49+00,1,2020/07/06 11:39:00+00,,Closed,,20-00230555,Standard,1636 U STREET SE,401675.78,133046.88,38.86524059,-76.98069069,WASHINGTON,DC,20020,58779,8
-76.9891376091021,38.9025485278747,473,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/28 18:32:44+00,2020/07/01 07:50:55+00,2020/07/17 18:32:44+00,2020/06/28 18:32:44+00,1,2020/07/01 07:50:00+00,,Closed,,20-00223604,Standard,1232 FLORIDA AVENUE NE,400942.41,137187.4,38.90254107,-76.98913533,WASHINGTON,DC,20002,70425,5
-76.9276951628702,38.8833619732999,474,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/02 09:00:00+00,2020/07/08 14:14:23+00,2020/07/23 09:00:00+00,2020/07/02 09:00:00+00,1,2020/07/08 14:14:00+00,,Closed,,20-00228642,Standard,5129 D STREET SE,406273.66,135059.97,38.88335452,-76.9276929,WASHINGTON,DC,20019,310997,7
-77.0196300019033,38.9772331612257,475,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/20 23:44:03+00,2020/06/26 09:30:11+00,2020/07/09 23:44:03+00,2020/06/20 23:44:03+00,1,2020/06/24 11:15:00+00,,Closed,,20-00215031,Standard,7130 CHESTNUT STREET NW,398299.26,145478.18,38.97722569,-77.01962771,WASHINGTON,DC,20012,251231,4
-76.9918543743025,38.8627364494763,476,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/03 01:05:01+00,2020/07/15 15:22:13+00,2020/07/23 01:05:00+00,2020/07/03 01:05:01+00,1,2020/07/14 13:26:00+00,,Closed,,20-00229971,Standard,1204 TALBERT STREET SE,400707.15,132767.93,38.862729,-76.9918521,WASHINGTON,DC,20020,71982,8
-77.0068550362797,38.9160866625928,477,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/02 19:04:23+00,2020/07/08 06:59:59+00,2020/07/23 19:04:22+00,2020/07/02 19:04:23+00,1,2020/07/08 06:58:00+00,,Closed,,20-00229829,Standard,57 TODD PLACE NE,399405.7,138690.21,38.91607921,-77.00685275,WASHINGTON,DC,20002,7212,5
-77.0187291146392,38.9490556736454,478,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/04 13:35:16+00,2020/07/07 20:03:41+00,2020/07/23 13:35:16+00,2020/07/04 13:35:16+00,1,2020/07/07 13:44:00+00,,Closed,,20-00231106,Standard,438 DELAFIELD PLACE NW,398376.68,142350.2,38.94904821,-77.01872682,WASHINGTON,DC,20011,248325,4
-77.0093716685696,38.9216256194901,479,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/29 12:06:38+00,2020/06/30 11:19:56+00,2020/07/20 12:06:38+00,2020/06/29 12:06:38+00,1,2020/06/30 11:19:55+00,,Closed,,20-00224322,Standard,2406 NORTH CAPITOL STREET NW,399187.51,139305.1,38.92161816,-77.00936938,WASHINGTON,DC,20002,228281,5
-76.9778425621971,38.9062900828869,480,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/29 12:08:32+00,2020/07/07 11:47:25+00,2020/07/20 12:08:32+00,2020/06/29 12:08:32+00,1,2020/07/07 11:47:25+00,,Closed,,20-00224324,Standard,1221 18TH STREET NE,401922.05,137602.92,38.90628263,-76.97784029,WASHINGTON,DC,20002,71148,5
-77.0424786475308,38.9203862053189,481,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/05 10:30:10+00,2020/07/06 09:40:18+00,2020/07/23 10:30:10+00,2020/07/05 10:30:10+00,1,2020/07/06 09:39:00+00,,Closed,,20-00231446,Standard,1810 BELMONT ROAD NW,396316.49,139168.33,38.92037875,-77.04247635,WASHINGTON,DC,20009,235429,1
-76.9961655699256,38.9474868782841,482,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/03 17:55:22+00,2020/07/08 06:48:56+00,2020/07/23 17:55:21+00,2020/07/03 17:55:22+00,1,2020/07/08 06:42:00+00,,Closed,,20-00230764,Standard,716 CRITTENDEN STREET NE,400332.59,142175.89,38.94747941,-76.99616328,WASHINGTON,DC,20017,77359,5
-76.9870648128375,38.9118254746325,483,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 08:54:17+00,2020/07/01 07:36:00+00,2020/07/17 08:54:17+00,2020/06/26 08:54:17+00,1,2020/07/01 07:33:00+00,,Closed,,20-00221412,Standard,1831 CORCORAN STREET NE,401122.06,138217.24,38.91181802,-76.98706253,WASHINGTON,DC,20002,55098,5
-77.0124041175297,38.9101278195411,484,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/22 18:26:07+00,2020/06/24 11:15:27+00,2020/07/13 18:26:07+00,2020/06/22 18:26:07+00,1,2020/06/24 11:15:26+00,,Closed,,20-00216578,Standard,1516 1ST STREET NW,398924.37,138028.78,38.91012036,-77.01240183,WASHINGTON,DC,20001,238166,5
-76.9499335434803,38.8885825407228,485,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/26 12:39:58+00,2020/06/30 13:55:37+00,2020/07/17 12:39:58+00,2020/06/26 12:39:58+00,1,2020/07/01 00:20:00+00,,Closed,,20-00221878,Standard,3912 BURNS COURT SE,404343.85,135638.2,38.88857475,-76.94993128,WASHINGTON,DC,20019,299477,7
-77.007515139359,38.9179428789812,486,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/23 18:42:09+00,2020/06/25 08:49:34+00,2020/07/14 18:42:09+00,2020/06/23 18:42:09+00,1,2020/06/25 08:49:34+00,,Closed,,20-00217970,Standard,39 V STREET NE,399348.47,138896.27,38.91793542,-77.00751285,WASHINGTON,DC,20002,29587,5
-76.9854257052705,38.913457773044,487,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/19 21:38:55+00,2020/06/24 07:05:56+00,2020/07/10 21:38:55+00,2020/06/19 21:38:55+00,1,2020/06/24 07:05:00+00,,Closed,,20-00214386,Standard,1921 GALLAUDET STREET NE,401264.19,138398.46,38.91345032,-76.98542343,WASHINGTON,DC,20002,53993,5
-76.993997225628,38.902991008657,488,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/05 20:52:06+00,2020/07/07 18:10:33+00,2020/07/23 20:52:06+00,2020/07/05 20:52:06+00,1,2020/07/07 18:10:00+00,,Closed,,20-00231720,Standard,1006 9TH STREET NE,400520.88,137236.48,38.90298355,-76.99399494,WASHINGTON,DC,20002,76365,6
-77.0298767846529,38.9189665207722,489,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/30 15:07:46+00,2020/07/04 07:30:38+00,2020/07/21 15:07:46+00,2020/06/30 15:07:46+00,1,2020/07/04 07:30:00+00,,Closed,,20-00226214,Standard,2132 13TH STREET NW,397409.26,139010.3,38.91895906,-77.02987449,WASHINGTON,DC,20009,240310,1
-76.989343779488,38.9015162792217,490,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/22 19:15:05+00,2020/06/25 08:11:29+00,2020/07/13 19:15:05+00,2020/06/22 19:15:05+00,1,2020/06/25 08:11:28+00,,Closed,,20-00216602,Standard,1220 I STREET NE,400924.54,137072.81,38.90150882,-76.9893415,WASHINGTON,DC,20002,71118,6
-76.981499782663,38.9034719155653,491,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/21 21:45:51+00,2020/06/24 07:02:23+00,2020/07/10 21:45:51+00,2020/06/21 21:45:51+00,1,2020/06/24 07:02:00+00,,Closed,,20-00215378,Standard,1038 BLADENSBURG ROAD NE,401604.9,137290.01,38.90346446,-76.9814975,WASHINGTON,DC,20002,75012,5
-77.0030094146598,38.891841201029,492,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/28 12:44:58+00,2020/06/30 09:32:36+00,2020/07/17 12:44:58+00,2020/06/28 12:44:58+00,1,2020/06/30 09:32:35+00,,Closed,,20-00223437,Standard,211 CONSTITUTION AVENUE NE,399739.12,135998.75,38.89183341,-77.00300713,WASHINGTON,DC,20002,286631,6
-76.9751184403018,38.8993477854529,493,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/02 10:29:12+00,2020/07/10 06:55:25+00,2020/07/23 10:29:12+00,2020/07/02 10:29:12+00,1,2020/07/10 06:55:00+00,,Closed,,20-00228908,Standard,1935 BENNETT PLACE NE,402158.54,136832.33,38.89934033,-76.97511616,WASHINGTON,DC,20002,53434,5
-76.9863903503464,38.8861876900922,494,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/20 16:38:07+00,2020/06/23 15:28:56+00,2020/07/10 16:38:07+00,2020/06/20 16:38:07+00,1,2020/06/23 18:20:10+00,,Closed,,20-00214866,Standard,1345 SOUTH CAROLINA AVENUE SE,401180.98,135371.25,38.88618024,-76.98638807,WASHINGTON,DC,20003,66340,6
-77.0245065770582,38.9247179643219,495,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/20 21:39:40+00,2020/06/22 11:28:23+00,2020/07/10 21:39:40+00,2020/06/20 21:39:40+00,1,2020/06/22 11:27:00+00,,Closed,,20-00215002,Standard,758 FAIRMONT STREET NW,397875.14,139648.62,38.92471017,-77.02450428,WASHINGTON,DC,20001,232359,1
-77.0176785281794,38.9123467959615,496,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/02 09:48:52+00,2020/07/08 14:19:45+00,2020/07/23 09:48:52+00,2020/07/02 09:48:52+00,1,2020/07/08 14:19:00+00,,Closed,,20-00228785,Standard,1644 NEW JERSEY AVENUE NW,398466.96,138275.18,38.91233934,-77.01767624,WASHINGTON,DC,20001,237307,6
-77.0501793211905,38.91768344565,497,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/01 09:17:52+00,2020/07/02 15:25:22+00,2020/07/22 09:17:52+00,2020/07/01 09:17:52+00,1,2020/07/02 15:24:00+00,,Closed,,20-00227103,Standard,2206 KALORAMA ROAD NW,395648.53,138868.64,38.91767599,-77.05017702,WASHINGTON,DC,20008,234990,2
-77.024020407754,38.9248007616449,498,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/23 11:48:54+00,2020/06/29 09:45:54+00,2020/07/14 11:48:54+00,2020/06/23 11:48:54+00,1,2020/06/29 09:45:00+00,,Closed,,20-00217265,Standard,742 FAIRMONT STREET NW,397917.3,139657.8,38.9247933,-77.02401812,WASHINGTON,DC,20001,232367,1
-76.992379992651,38.8974993281031,499,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/07/05 14:06:16+00,2020/07/07 18:09:33+00,2020/07/23 14:06:16+00,2020/07/05 14:06:16+00,1,2020/07/07 18:09:00+00,,Closed,,20-00231542,Standard,1002 F STREET NE,400661.21,136626.87,38.89749187,-76.99237771,WASHINGTON,DC,20002,303892,6
-77.01744057479,38.9152972425524,500,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/30 13:41:29+00,2020/07/01 13:28:34+00,2020/07/21 13:41:29+00,2020/06/30 13:41:29+00,1,2020/07/01 13:27:00+00,,Closed,,20-00225980,Standard,1830 4TH STREET NW,398487.66,138602.7,38.91528979,-77.01743828,WASHINGTON,DC,20001,229923,1
-76.9972570057108,38.9257906003041,286,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 10:30:42+00,2020/07/01 08:02:13+00,2020/07/16 10:30:42+00,2020/06/25 10:30:42+00,1,2020/07/01 08:00:00+00,,Closed,,20-00220151,Standard,624 FRANKLIN STREET NE,400238.05,139767.41,38.92578314,-76.99725472,WASHINGTON,DC,20017,3278,5
-77.0246570354724,38.9639635224356,287,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 10:34:20+00,2020/06/30 09:09:38+00,2020/07/16 10:34:20+00,2020/06/25 10:34:20+00,1,2020/06/26 14:35:00+00,,Closed,,20-00220159,Standard,807 QUACKENBOS STREET NW,397863.27,144005.23,38.96395606,-77.02465474,WASHINGTON,DC,20011,254236,4
-76.9877141379932,38.8980596112316,288,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 10:35:16+00,2020/07/01 07:57:28+00,2020/07/16 10:35:16+00,2020/06/25 10:35:16+00,1,2020/07/01 07:57:28+00,,Closed,,20-00220162,Standard,1313 MARYLAND AVENUE NE,401065.95,136689.11,38.89805216,-76.98771186,WASHINGTON,DC,20002,68235,6
-76.9872953469942,38.9199758805278,289,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/25 10:36:30+00,2020/07/07 12:04:12+00,2020/07/16 10:36:30+00,2020/06/25 10:36:30+00,1,2020/07/07 12:04:11+00,,Closed,,20-00220165,Standard,2225 13TH STREET NE,401101.94,139122,38.91996842,-76.98729307,WASHINGTON,DC,20018,49893,5
-77.025109975701,38.907459399145,290,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/24 21:24:58+00,2020/06/26 08:16:29+00,2020/07/15 21:24:58+00,2020/06/24 21:24:58+00,1,2020/06/25 09:52:00+00,,Closed,,20-00219581,Standard,925 N STREET NW,397822.29,137732.79,38.90745194,-77.02510768,WASHINGTON,DC,20001,239708,2
-77.0402487537989,38.9098794008097,291,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2020/06/28 00:11:03+00,2020/06/30 08:17:23+00,2020/07/17 00:11:03+00,2020/06/28 00:11:03+00,1,2020/06/29 10:23:00+00,,Closed,,20-00223292,Standard,1737 P STREET NW,396509.35,138001.9,38.90987161,-77.04024646,WASHINGTON,DC,20036,238003,2
